Subject,PictureName,EmpathyRatings
38,E_amb_vic9,3
39,E_amb_vic9,4
40,E_amb_vic9,3
41,E_amb_vic9,4
42,E_amb_vic9,3
45,E_amb_vic9,4
46,E_amb_vic9,3
47,E_amb_vic9,4
48,E_amb_vic9,4
49,E_amb_vic9,3
50,E_amb_vic9,5
51,E_amb_vic9,5
52,E_amb_vic9,3
53,E_amb_vic9,3
54,E_amb_vic9,4
55,E_amb_vic9,4
56,E_amb_vic9,3
57,E_amb_vic9,3
58,E_amb_vic9,4
59,E_amb_vic9,3
60,E_amb_vic9,3
61,E_amb_vic9,2
62,E_amb_vic9,3
63,E_amb_vic9,4
64,E_amb_vic9,4
65,E_amb_vic9,3
11,E_los1,1
12,E_los1,1
13,E_los1,1
15,E_los1,2
18,E_los1,1
20,E_los1,2
21,E_los1,1
22,E_los1,1
23,E_los1,1
24,E_los1,2
26,E_los1,2
28,E_los1,2
29,E_los1,1
30,E_los1,1
31,E_los1,2
32,E_los1,1
33,E_los1,3
34,E_los1,1
35,E_los1,2
36,E_los1,1
37,E_los1,1
38,E_los1,2
39,E_los1,2
40,E_los1,5
41,E_los1,1
42,E_los1,1
45,E_los1,2
46,E_los1,2
47,E_los1,2
48,E_los1,2
49,E_los1,2
50,E_los1,3
51,E_los1,1
52,E_los1,2
53,E_los1,3
54,E_los1,2
55,E_los1,2
56,E_los1,2
57,E_los1,1
58,E_los1,2
59,E_los1,2
60,E_los1,1
61,E_los1,1
62,E_los1,3
63,E_los1,1
64,E_los1,1
65,E_los1,2
11,E_los10,2
12,E_los10,2
13,E_los10,2
15,E_los10,2
18,E_los10,1
20,E_los10,1
21,E_los10,1
22,E_los10,1
23,E_los10,1
24,E_los10,1
26,E_los10,1
28,E_los10,5
29,E_los10,1
30,E_los10,1
31,E_los10,2
32,E_los10,1
33,E_los10,4
34,E_los10,4
35,E_los10,3
36,E_los10,3
37,E_los10,1
38,E_los10,2
39,E_los10,1
40,E_los10,3
41,E_los10,2
42,E_los10,1
45,E_los10,3
46,E_los10,3
47,E_los10,3
48,E_los10,2
49,E_los10,1
50,E_los10,2
